what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1339586297042
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1339586297042
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1339586297043
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1339586297043
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1339586297043
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1339586297044
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1339586297045
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1339586297046
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1339586297046
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1339586297047
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1339586297047
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1339586297048
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1339586297048
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1339586297048
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1339586297049
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1339586297049
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1339586297050
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1339586297050
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339586297051
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339586297051
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339586297052
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1339586297052
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1339586297052
os,sysinfo,,,"win32",1339586297055
arch,sysinfo,,,"x86_64",1339586297055
ws,sysinfo,,,"win32",1339586297055
locale,sysinfo,,,"en_US",1339586297055
processors,sysinfo,,,"4",1339586297055
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339586297055
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1339586297055
java.specification.name,sysinfo,,,"Java Platform API Specification",1339586297055
java.specification.vendor,sysinfo,,,"Oracle Corporation",1339586297055
java.specification.version,sysinfo,,,"1.7",1339586297055
java.vendor,sysinfo,,,"Oracle Corporation",1339586297055
java.version,sysinfo,,,"1.7.0_03",1339586297055
java.vm.info,sysinfo,,,"mixed mode",1339586297055
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1339586297055
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339586297055
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1339586297055
java.vm.specification.version,sysinfo,,,"1.7",1339586297055
java.vm.vendor,sysinfo,,,"Oracle Corporation",1339586297055
java.vm.version,sysinfo,,,"22.1-b02",1339586297055
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1339586297058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586299148
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1339586308516
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1339586314300
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1339586314319
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1339586314327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586315988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1339586315993
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1339586316472
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1339586316472
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1339586316572
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1339586316591
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1339586316616
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1339586316632
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1339586316691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586316984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586321886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586324316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586326308
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339586328114
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339586328154
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1339586328174
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1339586331044
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339586331048
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1339586332421
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1339586332422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586332487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586334525
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1339586334531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339586334531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586335452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586338588
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339586341912
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339586342027
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1339586342524
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339586343171
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339586343171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586344967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586346292
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1339586346298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339586346298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586347076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586347997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586352864
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586355077
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1339586355077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339586355077
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1339586356427
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1339586356457
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1339586356507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586356547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586358727
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1339586358927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586359137
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339586360268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586360378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586362659
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1339586367929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586368029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1339586368029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586368839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586370219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586381219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586382509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586383642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586411103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586412856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586426757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586436931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586446847
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1339586448897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586450787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586507536
failed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1339586507546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586508237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586509918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586513398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586516488
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1339586516498
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1339586516498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339586516838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587801399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587809659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587813998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587819215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587824030
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339587824044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587826405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587843151
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1339587845518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587845820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587891740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587892051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587893343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339587895051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339594967339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339594969541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339594971517
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339594973476
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339594977285
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339594977363
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1339594977449
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339594992086
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1339594993852
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1339594993856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339595000528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339595001803
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339595001904
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1339595002227
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1339595002230
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1339595002231
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1339595002232
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1339595002233
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1339595002234
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1339595002234
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1339595002234
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1339595002234
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1339595002235
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1339595002236
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1339595002236
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1339595002236
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1339595002236
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1339595002236
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1339595002236
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1339595002237
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1339595002238
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1339595002238
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1339595002238
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1339595002238
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1339595002239
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1339595002240
stopped,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1339595002240
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1339595002240
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1339595002240
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1339595002241
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1339595002242
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1339595002242
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1339595002242
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1339595002243
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1339595002243
stopped,bundle,org.eclipse.wb.swing.databinding,1.3.0.r37x201202021417,"org.eclipse.wb.swing.databinding",1339595002243
stopped,bundle,org.eclipse.wb.core.databinding,1.3.0.r37x201202052311,"org.eclipse.wb.core.databinding",1339595002244
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.3.0.r37x201202021417,"org.eclipse.wb.swing.FormLayout",1339595002245
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.3.0.r37x201202021417,"org.eclipse.wb.swing.MigLayout",1339595002245
stopped,bundle,org.eclipse.wb.swing.java6,1.3.0.r37x201202021417,"org.eclipse.wb.swing.java6",1339595002246
stopped,bundle,org.eclipse.wb.swing.jsr296,1.3.0.r37x201202021417,"org.eclipse.wb.swing.jsr296",1339595002246
stopped,bundle,org.eclipse.wb.swing,1.3.0.r37x201202021417,"org.eclipse.wb.swing",1339595002246
stopped,bundle,org.eclipse.wb.core.ui,1.3.0.r37x201202052340,"org.eclipse.wb.core.ui",1339595002246
stopped,bundle,org.eclipse.wb.layout.group,1.3.0.r37x201202060028,"org.eclipse.wb.layout.group",1339595002246
stopped,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1339595002246
stopped,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1339595002246
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1339595002249
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1339595002249
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1339595002251
stopped,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1339595002251
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1339595002252
stopped,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1339595002253
stopped,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1339595002254
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1339595002255
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1339595002255
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1339595002255
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1339595002255
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1339595002255
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1339595002256
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1339595002257
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1339595002257
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1339595002257
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1339595002258
